question_type,lesson_title,prompt,prompt_image,prompt_audio,correct_answer,option_1,option_2,option_3,option_4,count_emoji_or_image,target_count,target_word,pair_1_left,pair_1_right,pair_2_left,pair_2_right,pair_3_left,pair_3_right
multiple_choice,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,What number comes after 15 during rocket launch countdown?,sp_q1.webp,audio_sp1.mp3,1,16,14,12,,,1,,,,,,,
multiple_choice,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,What number comes right before 20 in space?,sp_q2.webp,audio_sp2.mp3,1,19,18,17,,,1,,,,,,,
multiple_choice,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,Which number is the largest: 12 18 or 15?,sp_q3.webp,audio_sp3.mp3,1,18,12,15,,,1,,,,,,,
multiple_choice,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,Count the rockets: 11 12 13... what comes next?,sp_q4.webp,audio_sp4.mp3,1,14,10,15,,,1,,,,,,,
multiple_choice,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,What number is between 8 and 10?,sp_q5.webp,audio_sp5.mp3,1,9,7,11,,,1,,,,,,,
multiple_choice,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,What number comes right after 0?,sp_q6.webp,audio_sp6.mp3,1,1,2,0,,,1,,,,,,,
count_objects,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,Count 12 space rockets ready for blastoff!,sp_count1.webp,audio_sp7.mp3,1,12,10,14,,🚀,12,,,,,,,
count_objects,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,Count 15 glowing stars in space!,sp_count2.webp,audio_sp8.mp3,1,15,12,18,,⭐,15,,,,,,,
count_objects,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,Count 18 space helmets!,sp_count3.webp,audio_sp9.mp3,1,18,16,20,,🪖,18,,,,,,,
speak_repeat,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,Say out loud clearly: COUNTING TO TWENTY IN OUTER SPACE!,speak_sp1.webp,audio_sp10.mp3,1,Counting To Twenty In Outer Space,,,,,,Counting To Twenty In Outer Space,,,,,,,
speak_repeat,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,Say out loud clearly: EIGHTEEN NINETEEN TWENTY BLASTOFF!,speak_sp2.webp,audio_sp11.mp3,1,Eighteen Nineteen Twenty Blastoff,,,,,,Eighteen Nineteen Twenty Blastoff,,,,,,,
matching,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,Match space numbers!,,,1,,,,,,,,15,15,16,16,20,20
matching,PP2-MATH-1.1.1_Outer_Space_Rocket_Launch,Match rocket track spots!,,,1,,,,,,,,12,12,14,14,18,18
multiple_choice,PP2-MATH-1.1.2_Dinosaur_Egg_Count_21_to_40,What number comes after 25 dino eggs?,de_q1.webp,audio_de1.mp3,1,26,24,30,,,1,,,,,,,
